role,module,action,allowed,updated_at,updated_by
to_truong,bao_tri,approve,f,2026-07-14 08:18:51.879439+00,
admin,bao_tri,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,bao_tri,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,bao_tri,export,t,2026-07-14 08:18:51.879439+00,
ktv,bao_tri,export,f,2026-07-14 08:18:51.879439+00,
readonly,bao_tri,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,bao_tri,export,f,2026-07-14 08:18:51.879439+00,
to_truong,bao_tri,export,t,2026-07-14 08:18:51.879439+00,
admin,bao_tri,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,bao_tri,import,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,bao_tri,import,f,2026-07-14 08:18:51.879439+00,
ktv,bao_tri,import,f,2026-07-14 08:18:51.879439+00,
readonly,bao_tri,import,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,bao_tri,import,f,2026-07-14 08:18:51.879439+00,
to_truong,bao_tri,import,f,2026-07-14 08:18:51.879439+00,
admin,kiem_ke,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,kiem_ke,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,kiem_ke,view,t,2026-07-14 08:18:51.879439+00,
ktv,kiem_ke,view,t,2026-07-14 08:18:51.879439+00,
readonly,kiem_ke,view,t,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,kiem_ke,view,f,2026-07-14 08:18:51.879439+00,
to_truong,kiem_ke,view,t,2026-07-14 08:18:51.879439+00,
admin,kiem_ke,create,t,2026-07-14 08:18:51.879439+00,
phong_kt,kiem_ke,create,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,kiem_ke,create,t,2026-07-14 08:18:51.879439+00,
ktv,kiem_ke,create,t,2026-07-14 08:18:51.879439+00,
readonly,kiem_ke,create,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,kiem_ke,create,f,2026-07-14 08:18:51.879439+00,
to_truong,kiem_ke,create,t,2026-07-14 08:18:51.879439+00,
admin,kiem_ke,edit,t,2026-07-14 08:18:51.879439+00,
phong_kt,kiem_ke,edit,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,kiem_ke,edit,t,2026-07-14 08:18:51.879439+00,
ktv,kiem_ke,edit,t,2026-07-14 08:18:51.879439+00,
readonly,kiem_ke,edit,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,kiem_ke,edit,f,2026-07-14 08:18:51.879439+00,
to_truong,kiem_ke,edit,t,2026-07-14 08:18:51.879439+00,
admin,kiem_ke,delete,t,2026-07-14 08:18:51.879439+00,
phong_kt,kiem_ke,delete,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,kiem_ke,delete,f,2026-07-14 08:18:51.879439+00,
ktv,kiem_ke,delete,f,2026-07-14 08:18:51.879439+00,
readonly,kiem_ke,delete,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,kiem_ke,delete,f,2026-07-14 08:18:51.879439+00,
to_truong,kiem_ke,delete,f,2026-07-14 08:18:51.879439+00,
admin,kiem_ke,approve,t,2026-07-14 08:18:51.879439+00,
phong_kt,kiem_ke,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,kiem_ke,approve,t,2026-07-14 08:18:51.879439+00,
ktv,kiem_ke,approve,f,2026-07-14 08:18:51.879439+00,
readonly,kiem_ke,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,kiem_ke,approve,f,2026-07-14 08:18:51.879439+00,
to_truong,kiem_ke,approve,f,2026-07-14 08:18:51.879439+00,
admin,kiem_ke,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,kiem_ke,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,kiem_ke,export,t,2026-07-14 08:18:51.879439+00,
ktv,kiem_ke,export,f,2026-07-14 08:18:51.879439+00,
readonly,kiem_ke,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,kiem_ke,export,f,2026-07-14 08:18:51.879439+00,
to_truong,kiem_ke,export,t,2026-07-14 08:18:51.879439+00,
admin,kiem_ke,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,kiem_ke,import,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,kiem_ke,import,f,2026-07-14 08:18:51.879439+00,
ktv,kiem_ke,import,f,2026-07-14 08:18:51.879439+00,
readonly,kiem_ke,import,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,kiem_ke,import,f,2026-07-14 08:18:51.879439+00,
to_truong,kiem_ke,import,f,2026-07-14 08:18:51.879439+00,
admin,giay_phep,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,giay_phep,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,giay_phep,view,t,2026-07-14 08:18:51.879439+00,
ktv,giay_phep,view,f,2026-07-14 08:18:51.879439+00,
readonly,giay_phep,view,t,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,giay_phep,view,f,2026-07-14 08:18:51.879439+00,
to_truong,giay_phep,view,f,2026-07-14 08:18:51.879439+00,
admin,giay_phep,create,t,2026-07-14 08:18:51.879439+00,
phong_kt,giay_phep,create,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,giay_phep,create,t,2026-07-14 08:18:51.879439+00,
ktv,giay_phep,create,f,2026-07-14 08:18:51.879439+00,
readonly,giay_phep,create,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,giay_phep,create,f,2026-07-14 08:18:51.879439+00,
to_truong,giay_phep,create,f,2026-07-14 08:18:51.879439+00,
admin,giay_phep,edit,t,2026-07-14 08:18:51.879439+00,
phong_kt,giay_phep,edit,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,giay_phep,edit,t,2026-07-14 08:18:51.879439+00,
ktv,giay_phep,edit,f,2026-07-14 08:18:51.879439+00,
readonly,giay_phep,edit,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,giay_phep,edit,f,2026-07-14 08:18:51.879439+00,
to_truong,giay_phep,edit,f,2026-07-14 08:18:51.879439+00,
admin,giay_phep,delete,t,2026-07-14 08:18:51.879439+00,
phong_kt,giay_phep,delete,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,giay_phep,delete,f,2026-07-14 08:18:51.879439+00,
ktv,giay_phep,delete,f,2026-07-14 08:18:51.879439+00,
readonly,giay_phep,delete,f,2026-07-14 08:18:51.879439+00,
